Name,Description
Habilidad,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Soporte WT,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Instalación WT,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Recepción WT,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Comunicacion WT,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Mantenimiento WT,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Instalacion WT Delete,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Automatizacion WT,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Adaptacion agil WT,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Trabajo en altura,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
FullStack,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Backend,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
FrontEnd,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Scrum PO,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Scrum Master,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Scrum developer,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
base de datos,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Automatización,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Pruebas,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Redes,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Telecomunicaciones,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Telematica,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Trabajo en equipo,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Planificación,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Flexibilidad,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Comunicación,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Liderazgo,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Compromiso,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Negociación,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Up-Orientación al cliente,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Up-Adaptabilidad,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Up-Organización,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Up-Automotivación,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Up-Análisis de problemas,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Up-Autoconocimiento,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Up-Espíritu comercial,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Up-Asunción de riesgos,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Up-Autoconfianza,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Up-Escucha,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Up-Tolerancia al estrés,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Up-Capacidad crítica,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Resolución de conflictos,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Orientación al logro,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Sociabilidad,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Trabajo en equipo,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Meticulosidad,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Delegación,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
Creatividad,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
De-Orientación estratégica,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
De-Autonomía,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
De-Decisión,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
De-Networking,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
De-Persuasión,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
De-Integridad,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
De-Iniciativa,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
De-Amabilidad,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
De-Gestión,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
De-Empatia,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
De-Tenacidad,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
De-Autocrítica,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
De-Discreción,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
De-Proactividad,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
De-Gestión del tiempo,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
De-Facilidad aprendizaje,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
De-Asertividad,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
De-Síntesis,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
De-Autocontrol,Orci varius natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
